IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
185.233.202.195,443,443,true,AMS,Europe,NL,Amsterdam,200,6.24
109.234.34.182,443,443,true,DME,Europe,RU,Moscow,270,6.21
185.94.165.218,443,443,true,AMS,Europe,NL,Amsterdam,191,6.13
185.94.165.167,443,443,true,AMS,Europe,NL,Amsterdam,215,6.13
107.175.2.53,443,443,true,YYZ,North America,CA,Toronto,223,6.06
3.8.172.27,443,443,true,LHR,Europe,GB,London,226,6.00
80.209.243.245,443,443,true,EWR,North America,US,Newark,238,5.97
185.94.164.12,443,443,true,AMS,Europe,NL,Amsterdam,187,5.96
34.253.234.62,443,443,true,DUB,Europe,IE,Dublin,229,5.93
154.29.147.199,443,443,true,LAX,North America,US,Los Angeles,165,5.92
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,268,5.84
173.249.197.84,443,443,true,SJC,North America,US,San Jose,185,5.82
35.157.121.50,443,443,true,FRA,Europe,DE,Frankfurt,197,5.82
142.93.141.178,443,443,true,AMS,Europe,NL,Amsterdam,267,5.75
51.20.124.5,443,443,true,ARN,Europe,SE,Stockholm,236,5.74
185.103.255.186,443,443,true,AMS,Europe,NL,Amsterdam,233,5.70
37.1.193.165,443,443,true,FRA,Europe,DE,Frankfurt,237,5.68
150.230.114.161,443,443,true,FRA,Europe,DE,Frankfurt,238,5.62
35.176.229.223,443,443,true,LHR,Europe,GB,London,201,5.60
194.5.97.149,443,443,true,AMS,Europe,NL,Amsterdam,207,5.55
52.30.132.114,443,443,true,DUB,Europe,IE,Dublin,215,5.50
18.188.176.57,443,443,true,ORD,North America,US,Chicago,237,5.34
35.177.50.118,443,443,true,LHR,Europe,GB,London,231,5.33
194.247.187.181,443,443,true,AMS,Europe,NL,Amsterdam,257,5.24
174.138.8.21,443,443,true,AMS,Europe,NL,Amsterdam,295,5.19
158.101.215.215,443,443,true,FRA,Europe,DE,Frankfurt,280,5.12
195.133.75.188,443,443,true,AMS,Europe,NL,Amsterdam,249,5.11
104.255.69.3,443,443,true,AMS,Europe,NL,Amsterdam,239,5.07
45.147.50.154,443,443,true,FRA,Europe,DE,Frankfurt,278,5.05
45.85.93.62,443,443,true,MXP,Europe,IT,Milan,234,5.04
219.76.13.181,443,443,true,HKG,Asia Pacific,HK,Hong Kong,124,5.01
204.110.223.105,443,443,true,ORD,North America,US,Chicago,247,4.97
51.20.197.83,443,443,true,ARN,Europe,SE,Stockholm,251,4.94
38.180.30.217,443,443,true,LHR,Europe,GB,London,221,4.89
206.81.29.239,443,443,true,FRA,Europe,DE,Frankfurt,236,4.86
79.72.91.166,443,443,true,FRA,Europe,DE,Frankfurt,261,4.84
204.12.225.229,443,443,true,MCI,North America,US,Kansas City,223,4.82
181.36.229.212,443,443,true,SDQ,North America,DO,Santo Domingo,265,4.81
185.246.155.73,443,443,true,AMS,Europe,NL,Amsterdam,176,4.78
185.225.68.232,443,443,true,VIE,Europe,AT,Vienna,235,4.73
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,258,4.73
143.47.238.81,443,443,true,FRA,Europe,DE,Frankfurt,245,4.68
79.132.143.54,443,443,true,FRA,Europe,DE,Frankfurt,258,4.66
141.148.229.246,443,443,true,FRA,Europe,DE,Frankfurt,281,4.62
80.158.63.104,443,443,true,MXP,Europe,IT,Milan,257,4.61
192.236.249.93,443,443,true,AMS,Europe,NL,Amsterdam,245,4.61
82.148.30.224,443,443,true,TLL,Europe,EE,Tallinn,224,4.60
143.47.229.171,443,443,true,FRA,Europe,DE,Frankfurt,242,4.59
204.110.223.21,443,443,true,ORD,North America,US,Chicago,234,4.58
45.14.247.108,443,443,true,FRA,Europe,DE,Frankfurt,209,4.57
185.242.106.215,443,443,true,KBP,Europe,UA,Kyiv,217,4.56
3.122.86.99,443,443,true,FRA,Europe,DE,Frankfurt,232,4.53
94.177.8.19,443,443,true,VIE,Europe,AT,Vienna,275,4.50
192.236.249.96,443,443,true,AMS,Europe,NL,Amsterdam,246,4.48
141.144.253.86,443,443,true,LAX,North America,US,Los Angeles,249,4.48
185.40.7.249,443,443,true,VIE,Europe,AT,Vienna,247,4.48
198.12.123.64,443,443,true,YYZ,North America,CA,Toronto,256,4.46
141.147.93.231,443,443,true,FRA,Europe,DE,Frankfurt,242,4.44
185.233.203.228,443,443,true,AMS,Europe,NL,Amsterdam,235,4.43
199.180.155.172,443,443,true,LAX,North America,US,Los Angeles,190,4.31
94.142.137.84,443,443,true,AMS,Europe,NL,Amsterdam,239,4.29
66.154.116.165,443,443,true,LAX,North America,US,Los Angeles,194,4.20
172.208.44.21,443,443,true,IAD,North America,US,Ashburn,254,4.17
144.21.54.63,443,443,true,FRA,Europe,DE,Frankfurt,246,4.17
23.94.98.225,443,443,true,SJC,North America,US,San Jose,176,4.17
89.110.69.244,443,443,true,AMS,Europe,NL,Amsterdam,278,4.10
34.69.150.180,443,443,true,ORD,North America,US,Chicago,218,4.10
154.16.16.24,443,443,true,AMS,Europe,NL,Amsterdam,241,4.09
213.183.51.219,443,443,true,AMS,Europe,NL,Amsterdam,243,4.08
141.147.96.165,443,443,true,ATL,North America,US,Atlanta,263,4.07
143.47.232.63,443,443,true,FRA,Europe,DE,Frankfurt,270,4.03
172.200.2.241,443,443,true,IAD,North America,US,Ashburn,260,4.01
152.67.151.244,443,443,true,FRA,Europe,DE,Frankfurt,266,3.99
195.133.79.154,443,443,true,AMS,Europe,NL,Amsterdam,252,3.98
94.177.8.6,443,443,true,VIE,Europe,AT,Vienna,289,3.97
185.237.219.169,443,443,true,RIX,Europe,LV,Riga,255,3.88
141.147.19.134,443,443,true,FRA,Europe,DE,Frankfurt,274,3.87
212.192.31.162,443,443,true,FRA,Europe,DE,Frankfurt,248,3.80
143.47.226.246,443,443,true,FRA,Europe,DE,Frankfurt,291,3.77
130.162.240.213,443,443,true,FRA,Europe,DE,Frankfurt,261,3.76
185.8.60.113,443,443,true,RIX,Europe,LV,Riga,278,3.68
195.58.50.194,443,443,true,AMS,Europe,NL,Amsterdam,227,3.67
80.211.194.250,443,443,true,PRG,Europe,CZ,Prague,277,3.61
20.52.104.187,443,443,true,KIX,Asia Pacific,JP,Osaka,457,3.57
154.23.240.232,443,443,true,LAX,North America,US,Los Angeles,156,3.56
34.147.231.33,443,443,true,LHR,Europe,GB,London,280,3.54
141.148.243.80,443,443,true,FRA,Europe,DE,Frankfurt,295,3.50
167.235.242.114,443,443,true,FRA,Europe,DE,Frankfurt,296,3.45
141.148.235.244,443,443,true,ORD,North America,US,Chicago,260,3.45
38.242.158.2,443,443,true,DUS,Europe,DE,Düsseldorf,290,3.41
83.138.55.156,443,443,true,VIE,Europe,AT,Vienna,281,3.40
185.87.150.54,443,443,true,LHR,Europe,GB,London,200,3.40
77.223.96.232,443,443,true,TLL,Europe,EE,Tallinn,232,3.37
193.84.2.64,443,443,true,HEL,Europe,FI,Helsinki,291,3.36
38.180.105.164,443,443,true,IST,Europe,TR,Istanbul,244,3.36
79.72.93.227,443,443,true,ATL,North America,US,Atlanta,269,3.35
147.78.0.247,443,443,true,CDG,Europe,FR,Paris,149,3.34
188.132.183.136,443,443,true,IST,Europe,TR,Istanbul,220,3.33
144.21.43.147,443,443,true,FRA,Europe,DE,Frankfurt,255,3.32
141.147.109.13,443,443,true,FRA,Europe,DE,Frankfurt,294,3.28
94.177.8.26,443,443,true,VIE,Europe,AT,Vienna,292,3.24
3.106.116.226,443,443,true,SYD,Oceania,AU,Sydney,231,3.24
185.104.250.204,443,443,true,HEL,Europe,FI,Helsinki,284,3.22
43.153.119.207,443,443,true,SJC,North America,US,San Jose,163,3.22
