IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
192.236.249.93,443,443,true,AMS,Europe,Amsterdam,311,0.04
83.170.84.75,443,443,true,LHR,Europe,London,260,0.03
194.87.179.68,443,443,true,DUS,Europe,Düsseldorf,343,0.03
166.1.161.52,443,443,true,ARN,Europe,Stockholm,311,0.03
45.136.50.108,443,443,true,AMS,Europe,Amsterdam,243,0.03
31.172.74.223,443,443,true,AMS,Europe,Amsterdam,366,0.03
2.59.183.77,443,443,true,AMS,Europe,Amsterdam,192,0.03
38.180.57.184,443,443,true,AMS,Europe,Amsterdam,248,0.03
163.5.207.144,443,443,true,AMS,Europe,Amsterdam,276,0.03
5.180.182.128,443,443,true,AMS,Europe,Amsterdam,301,0.02
185.88.141.242,443,443,true,AMS,Europe,Amsterdam,283,0.02
23.134.216.246,443,443,true,ARN,Europe,Stockholm,380,0.02
104.156.149.187,443,443,true,AMS,Europe,Amsterdam,245,0.02
192.236.249.110,443,443,true,AMS,Europe,Amsterdam,339,0.02
2.59.183.25,443,443,true,AMS,Europe,Amsterdam,253,0.02
194.87.179.183,443,443,true,DUS,Europe,Düsseldorf,335,0.02
192.177.26.118,443,443,true,CPH,Europe,Copenhagen,345,0.02
188.116.21.35,443,443,true,AMS,Europe,Amsterdam,222,0.02
192.236.249.109,443,443,true,AMS,Europe,Amsterdam,298,0.02
163.123.143.175,443,443,true,ARN,Europe,Stockholm,306,0.02
13.49.166.245,443,443,true,ARN,Europe,Stockholm,192,0.01
5.133.8.249,443,443,true,VIE,Europe,Vienna,246,0.01
166.1.161.55,443,443,true,ARN,Europe,Stockholm,361,0.01
89.42.142.147,443,443,true,AMS,Europe,Amsterdam,259,0.01
188.212.132.11,443,443,true,AMS,Europe,Amsterdam,336,0.01
185.94.167.108,443,443,true,KBP,Europe,Kyiv,330,0.01
192.236.249.101,443,443,true,AMS,Europe,Amsterdam,300,0.01
23.94.25.168,443,443,true,SJC,North America,San Jose,168,0.00
45.132.18.38,443,443,true,TLL,Europe,Tallinn,259,0.00
209.182.100.12,443,443,true,AMS,Europe,Amsterdam,267,0.00
34.142.31.109,443,443,true,LHR,Europe,London,277,0.00
45.89.63.111,443,443,true,LHR,Europe,London,277,0.00
89.42.142.219,443,443,true,AMS,Europe,Amsterdam,246,0.00
109.185.236.240,443,443,true,KBP,Europe,Kyiv,221,0.00
